latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.52,13.419998,38.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),wind_speed_10m (km/h),wind_direction_10m (°)
2023-01-01T00:00,15.9,58,0.00,20.4,222
2023-01-01T01:00,15.6,57,0.00,20.4,225
2023-01-01T02:00,15.3,56,0.00,19.6,226
2023-01-01T03:00,15.4,56,0.00,18.9,219
2023-01-01T04:00,15.2,56,0.00,20.4,216
2023-01-01T05:00,15.0,55,0.00,20.0,218
2023-01-01T06:00,15.0,54,0.00,19.4,211
2023-01-01T07:00,14.5,58,0.00,19.5,214
2023-01-01T08:00,14.5,58,0.00,20.5,219
2023-01-01T09:00,14.8,58,0.00,20.4,222
2023-01-01T10:00,14.9,58,0.00,20.4,226
2023-01-01T11:00,15.2,57,0.00,19.2,230
2023-01-01T12:00,15.8,56,0.00,18.0,233
2023-01-01T13:00,15.7,58,0.00,17.5,238
2023-01-01T14:00,15.3,59,0.00,15.9,245
2023-01-01T15:00,14.7,64,0.00,11.1,241
2023-01-01T16:00,13.8,69,0.00,8.4,227
2023-01-01T17:00,12.9,72,0.00,8.4,223
2023-01-01T18:00,12.1,76,0.00,7.7,208
2023-01-01T19:00,11.9,76,0.00,7.9,210
2023-01-01T20:00,11.7,76,0.00,8.0,198
2023-01-01T21:00,11.5,78,0.00,6.2,190
2023-01-01T22:00,11.5,80,0.10,5.9,194
2023-01-01T23:00,11.5,80,0.00,7.0,201
2023-01-02T00:00,11.5,77,0.10,6.6,171
2023-01-02T01:00,11.4,78,0.00,7.3,169
2023-01-02T02:00,11.4,77,0.00,7.1,156
2023-01-02T03:00,11.8,74,0.00,9.6,160
2023-01-02T04:00,12.1,71,0.00,9.4,182
2023-01-02T05:00,12.2,71,0.10,10.7,200
2023-01-02T06:00,12.6,67,0.40,10.2,203
2023-01-02T07:00,12.6,68,0.00,10.2,198
2023-01-02T08:00,12.6,69,0.10,12.4,202
2023-01-02T09:00,13.7,61,0.20,13.9,211
2023-01-02T10:00,14.0,60,0.10,14.9,212
2023-01-02T11:00,14.2,60,0.00,14.9,212
2023-01-02T12:00,14.5,60,0.20,15.1,208
2023-01-02T13:00,14.4,60,0.10,15.4,213
2023-01-02T14:00,14.2,64,0.20,16.2,217
2023-01-02T15:00,14.7,58,0.00,14.2,234
2023-01-02T16:00,13.9,63,0.00,17.3,269
2023-01-02T17:00,12.6,68,0.00,17.6,270
2023-01-02T18:00,12.0,72,0.10,12.3,273
2023-01-02T19:00,11.3,74,0.00,11.2,266
2023-01-02T20:00,10.7,77,0.10,12.6,267
2023-01-02T21:00,10.2,81,0.20,13.0,270
2023-01-02T22:00,9.8,81,0.10,14.9,262
2023-01-02T23:00,9.5,81,0.00,13.6,258
2023-01-03T00:00,9.1,80,0.00,13.6,259
2023-01-03T01:00,8.9,80,0.00,14.5,276
2023-01-03T02:00,8.6,80,0.00,14.5,284
2023-01-03T03:00,7.8,73,0.00,14.8,288
2023-01-03T04:00,7.0,73,0.00,13.7,284
2023-01-03T05:00,6.2,76,0.00,11.4,281
2023-01-03T06:00,5.3,84,0.00,9.0,254
2023-01-03T07:00,4.5,86,0.00,8.9,256
2023-01-03T08:00,4.0,87,0.00,8.8,258
2023-01-03T09:00,4.5,84,0.00,8.7,246
2023-01-03T10:00,5.3,77,0.00,9.8,253
2023-01-03T11:00,6.3,71,0.00,9.9,260
2023-01-03T12:00,7.1,68,0.00,10.8,266
2023-01-03T13:00,7.2,66,0.00,10.5,274
2023-01-03T14:00,7.0,65,0.00,8.0,265
2023-01-03T15:00,6.0,70,0.00,5.2,254
2023-01-03T16:00,5.3,75,0.00,3.3,229
2023-01-03T17:00,4.8,78,0.00,2.6,214
2023-01-03T18:00,3.0,85,0.00,3.9,146
2023-01-03T19:00,2.6,89,0.00,4.8,138
2023-01-03T20:00,2.9,89,0.00,6.4,142
2023-01-03T21:00,3.2,90,0.00,6.9,171
2023-01-03T22:00,3.4,90,0.00,6.6,171
2023-01-03T23:00,3.4,94,0.00,6.9,171
2023-01-04T00:00,3.5,94,0.00,7.6,183
2023-01-04T01:00,3.4,93,0.00,8.4,190
2023-01-04T02:00,3.4,92,0.00,10.5,188
2023-01-04T03:00,3.5,89,0.00,11.2,184
2023-01-04T04:00,3.5,89,0.00,11.5,178
2023-01-04T05:00,3.4,90,0.00,12.2,178
2023-01-04T06:00,4.0,89,0.00,14.4,180
2023-01-04T07:00,4.8,85,0.00,16.2,193
2023-01-04T08:00,5.5,86,1.00,17.1,202
2023-01-04T09:00,6.1,88,2.50,16.8,203
2023-01-04T10:00,6.7,87,1.90,17.7,209
2023-01-04T11:00,7.2,86,2.20,17.2,209
2023-01-04T12:00,7.5,85,2.20,19.1,216
2023-01-04T13:00,7.7,87,1.30,19.1,223
2023-01-04T14:00,8.0,86,1.60,20.4,222
2023-01-04T15:00,8.4,87,0.80,20.9,222
2023-01-04T16:00,8.9,85,0.10,19.6,224
2023-01-04T17:00,9.4,83,0.00,21.9,224
2023-01-04T18:00,9.6,84,0.00,22.4,226
2023-01-04T19:00,10.0,82,0.00,20.4,226
2023-01-04T20:00,10.1,82,0.00,20.7,231
2023-01-04T21:00,10.7,82,0.10,18.4,242
2023-01-04T22:00,10.3,84,0.60,15.8,240
2023-01-04T23:00,9.8,89,2.80,13.6,238
2023-01-05T00:00,10.0,86,0.90,19.1,266
2023-01-05T01:00,9.9,83,0.20,20.3,264
2023-01-05T02:00,9.7,83,0.20,21.4,263
2023-01-05T03:00,9.8,83,0.30,22.0,265
2023-01-05T04:00,9.5,85,0.30,19.4,270
2023-01-05T05:00,9.3,80,0.70,21.6,271
2023-01-05T06:00,9.3,86,0.50,18.4,271
2023-01-05T07:00,9.1,84,0.90,19.1,270
2023-01-05T08:00,8.9,82,0.00,20.3,276
2023-01-05T09:00,9.1,78,0.00,20.2,275
